l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new,PC50,PC120,PC250
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600640.SH,国脉文化,20220729,,Y,0.2586,0.01587,0.2549
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600986.SH,浙文互联,20040421,,Y,0.21792,0.03498,-0.02896
801760.SI,传媒,801765.SI,广告营销,857652.SI,广告媒体,002027.SZ,分众传媒,20040803,,Y,0.26496,0.15806,0.11952
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002400.SZ,省广集团,20100426,,Y,0.2268,0.12903,0.17822
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300061.SZ,旗天科技,20100310,,Y,1.6769,3.03163,1.61356
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300058.SZ,蓝色光标,20100203,,Y,0.40038,0.14953,-0.00405
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,000676.SZ,智度股份,20170629,,Y,0.99273,0.66565,0.54584
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,605168.SH,三人行,20200427,,Y,0.24706,-0.18375,-0.24731
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,301171.SZ,易点天下,20220805,,Y,0.4932,0.15682,0.23101
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,300063.SZ,天龙集团,20180619,,Y,1.84289,1.59091,1.71429
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,600556.SH,天下秀,20200907,,Y,0.23913,0.01786,-0.23361
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002354.SZ,天娱数科,20230704,,Y,0.25899,-0.13151,-0.31507
801760.SI,传媒,801765.SI,广告营销,857651.SI,营销代理,002291.SZ,遥望科技,20210730,,Y,0.26696,0.03393,-0.3754
