l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600801.SH,华新水泥,19940103,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,000401.SZ,冀东水泥,19960614,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,000877.SZ,天山股份,19990107,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600585.SH,海螺水泥,20020207,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600425.SH,青松建化,20030721,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600449.SH,宁夏建材,20030825,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,002233.SZ,塔牌集团,20080424,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,000672.SZ,上峰水泥,20130701,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,601992.SH,金隅集团,20190724,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600326.SH,西藏天路,20060901,,Y
801710.SI,建筑材料,801711.SI,水泥,857112.SI,水泥制品,002302.SZ,西部建设,20210730,,Y
801710.SI,建筑材料,801711.SI,水泥,857111.SI,水泥制造,600724.SH,宁波富达,20210730,,Y
