l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600688.SH,上海石化,19931108,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,000096.SZ,广聚能源,20000724,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859632.SI,油品石化贸易,600256.SH,广汇能源,20000424,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600028.SH,中国石化,20010808,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,000819.SZ,岳阳兴长,19970625,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,601857.SH,中国石油,20071101,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002221.SZ,东华能源,20080102,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000059.SZ,华锦股份,20091231,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,002493.SZ,荣盛石化,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,600346.SH,恒力石化,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,002408.SZ,齐翔腾达,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000703.SZ,恒逸石化,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859633.SI,其他石化,601233.SH,桐昆股份,20210730,,Y
801960.SI,石油石化,801963.SI,炼化及贸易,859631.SI,炼油化工,000301.SZ,东方盛虹,20210730,,Y
