l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,600438.SH,通威股份,20040301,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002459.SZ,晶澳科技,20100809,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,002218.SZ,拓日新能,20080226,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,688348.SH,昱能科技,20220520,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300118.SZ,东方日升,20100818,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300274.SZ,阳光电源,20111024,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,300316.SZ,晶盛机电,20120427,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002506.SZ,协鑫集成,20111010,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,688223.SH,晶科能源,20220107,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300393.SZ,中来股份,20140116,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,002129.SZ,TCL中环,20170629,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300763.SZ,锦浪科技,20190318,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,300827.SZ,上能电气,20200402,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,688390.SH,固德威,20200821,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,688408.SH,中信博,20200811,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,603212.SH,赛伍技术,20200416,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,688303.SH,大全能源,20210709,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,688599.SH,天合光能,20200602,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,601012.SH,隆基绿能,20220729,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,000821.SZ,京山轻机,20220729,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002865.SZ,钧达股份,20220729,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,688032.SH,禾迈股份,20211203,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,600151.SH,航天机电,20111010,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,600207.SH,安彩高科,20180713,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,600732.SH,爱旭股份,20201218,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,688556.SH,高测股份,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,300776.SZ,帝尔激光,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,688472.SH,阿特斯,20230526,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,002056.SZ,横店东磁,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,300751.SZ,迈为股份,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,601865.SH,福莱特,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857352.SI,光伏电池组件,300080.SZ,易成新能,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,600481.SH,双良节能,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,300842.SZ,帝科股份,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,603185.SH,弘元绿能,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857351.SI,硅料硅片,603398.SH,沐邦高科,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,003022.SZ,联泓新科,20210730,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,603806.SH,福斯特,20140106,,Y
801730.SI,电力设备,801735.SI,光伏设备,857353.SI,逆变器,605117.SH,德业股份,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857354.SI,光伏辅材,688503.SH,聚和材料,20230704,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,688516.SH,奥特维,20200506,,Y
801730.SI,电力设备,801735.SI,光伏设备,857355.SI,光伏加工设备,300724.SZ,捷佳伟创,20210730,,Y
