l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600820.SH,隧道股份,19940128,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600502.SH,安徽建工,20220729,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601390.SH,中国中铁,20071203,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600284.SH,浦东建设,20040311,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600039.SH,四川路桥,20030325,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601669.SH,中国电建,20110927,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601186.SH,中国铁建,20080226,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601800.SH,中国交建,20120214,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,000498.SZ,山东路桥,20130701,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002061.SZ,浙江交科,20180713,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601611.SH,中国核建,20160525,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,002941.SZ,新疆交建,20181030,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,601868.SH,中国能建,20210928,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857236.SI,基建市政工程,600133.SH,东湖高新,20170629,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300197.SZ,节能铁汉,20110321,,Y
801720.SI,建筑装饰,801723.SI,基础建设,857251.SI,园林工程,300355.SZ,蒙草生态,20120917,,Y
