l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000531.SZ,穗恒运A,19940106,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600863.SH,内蒙华电,19940520,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600726.SH,华电能源,19960701,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600744.SH,华银电力,19960905,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000027.SZ,深圳能源,19930903,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000539.SZ,粤电力A,19931126,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000543.SZ,皖能电力,19931220,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600642.SH,申能股份,19930416,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000966.SZ,长源电力,20000224,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600236.SH,桂冠电力,20000323,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600011.SH,华能国际,20011206,,Y
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,000591.SZ,太阳能,19960208,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600098.SH,广州发展,19970718,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600795.SH,国电电力,19970318,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000767.SZ,晋控电力,19970609,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000899.SZ,赣能股份,19971126,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,001896.SZ,豫能控股,19980122,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,600163.SH,中闽能源,19980602,,Y
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,002060.SZ,广东建工,20220729,,Y
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,600167.SH,联美控股,19990128,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,000537.SZ,中绿电,20220826,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600021.SH,上海电力,20031027,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600900.SH,长江电力,20031111,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600027.SH,华电国际,20050203,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,002039.SZ,黔源电力,20050302,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000600.SZ,建投能源,20060907,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,601991.SH,大唐发电,20061219,,Y
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,002617.SZ,露笑科技,20110908,,Y
801160.SI,公用事业,801161.SI,电力,851616.SI,光伏发电,601908.SH,京运通,20110826,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600674.SH,川投能源,20110110,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,000690.SZ,宝新能源,20170526,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,601016.SH,节能风电,20140110,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,000155.SZ,川能动力,20190724,,Y
801160.SI,公用事业,801161.SI,电力,851610.SI,电能综合服务,000875.SZ,吉电股份,20190724,,Y
801160.SI,公用事业,801161.SI,电力,851617.SI,风力发电,601619.SH,嘉泽新能,20170712,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600886.SH,国投电力,20170629,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,600578.SH,京能电力,20170629,,Y
801160.SI,公用事业,801161.SI,电力,851612.SI,水力发电,600025.SH,华能水电,20171121,,Y
801160.SI,公用事业,801161.SI,电力,851618.SI,核力发电,003816.SZ,中国广核,20190808,,Y
801160.SI,公用事业,801161.SI,电力,851614.SI,热力服务,002015.SZ,协鑫能科,20200722,,Y
801160.SI,公用事业,801161.SI,电力,851611.SI,火力发电,002608.SZ,江苏国信,20180713,,Y
