l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,000795.SZ,英洛华,20080102,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,000969.SZ,安泰科技,20110110,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300811.SZ,铂科新材,20191223,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300748.SZ,金力永磁,20180918,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,300855.SZ,图南股份,20200706,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,600366.SH,宁波韵升,20100104,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,300224.SZ,正海磁材,20110124,,Y
801050.SI,有色金属,801051.SI,金属新材料,850522.SI,磁性材料,000970.SZ,中科三环,20100104,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,601137.SH,博威合金,20210730,,Y
801050.SI,有色金属,801051.SI,金属新材料,850521.SI,其他金属新材料,688190.SH,云路股份,20211112,,Y
