l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,ts_code,name,in_date,out_date,is_new
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600398.SH,海澜之家,20001228,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600400.SH,红豆股份,20010108,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002154.SZ,报喜鸟,20070815,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,601718.SH,际华集团,20100727,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851326.SI,家纺,002293.SZ,罗莱生活,20090826,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851328.SI,运动服装,300005.SZ,探路者,20091022,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002563.SZ,森马服饰,20110110,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603587.SH,地素时尚,20170605,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,603877.SH,太平鸟,20161226,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,002832.SZ,比音勒芬,20161212,,Y
801130.SI,纺织服饰,801132.SI,服装家纺,851329.SI,非运动服装,600177.SH,雅戈尔,20210730,,Y
